region,entropy_measure,amplitude_measure,fisher_mean_pearson_r,ci95_low_r,ci95_high_r,mean_spearman_rho,fisher_z_t,group_p,q_global,significant_p05
WholeBrain,entropy__mse,amp__delta_relative_1_4,-0.5637,-0.6083,-0.5155,-0.5162,-19.3354,1.498423e-16,2.058098e-15,YES
WholeBrain,entropy__mse,amp__hilbert_envelope_mean,-0.7055,-0.7634,-0.6362,-0.6488,-14.3117,1.508338e-13,7.413016e-13,YES
WholeBrain,entropy__mse,amp__low_gamma_power_30_45,0.1462,0.0545,0.2355,0.1941,3.2709,3.121380e-03,4.028465e-03,YES
WholeBrain,entropy__mse,amp__low_gamma_relative_30_45,0.5172,0.4625,0.5680,0.5118,16.3753,7.114151e-15,5.123176e-14,YES
WholeBrain,entropy__mse,amp__mean_abs,-0.7036,-0.7608,-0.6354,-0.6482,-14.5393,1.058872e-13,5.462937e-13,YES
WholeBrain,entropy__mse,amp__peak_to_peak,-0.7618,-0.8177,-0.6918,-0.6718,-13.8181,3.298520e-13,1.520251e-12,YES
WholeBrain,entropy__mse,amp__rms,-0.7763,-0.8268,-0.7134,-0.7096,-15.0333,4.988339e-14,2.842257e-13,YES
WholeBrain,entropy__mse,amp__std,-0.7761,-0.8265,-0.7134,-0.7093,-15.0786,4.660525e-14,2.692459e-13,YES
WholeBrain,entropy__mse,amp__theta_power_4_8,-0.3298,-0.3666,-0.2920,-0.3442,-16.8558,3.658014e-15,2.884685e-14,YES
WholeBrain,entropy__mse,amp__theta_relative_4_8,0.1121,0.0359,0.1870,0.1019,3.0236,5.704530e-03,7.196590e-03,YES
WholeBrain,entropy__mse,amp__variance,-0.6899,-0.7495,-0.6191,-0.7232,-14.0573,2.251662e-13,1.068638e-12,YES
