region,entropy_measure,amplitude_measure,contrast,raw_mean_contrast,raw_p_value,beta0_adjusted_entropy,beta1_amplitude_coupling,beta0_t_stat,beta0_p_value,r2_explained_by_amplitude,retains_significance_p05
Temporal,entropy__mse,amp__beta_relative_13_30,0_to_2,-0.010473,3.780821e-01,-0.023630,1.379122,-3.2104,3.744849e-03,0.5745,YES
Temporal,entropy__mse,amp__beta_relative_13_30,0_to_3,-0.004437,7.182962e-01,-0.023328,1.343795,-3.3431,2.710734e-03,0.5788,YES
Temporal,entropy__mse,amp__beta_relative_13_30,2_to_3,0.006036,1.818661e-01,0.000907,1.255054,0.3627,7.199995e-01,0.6934,NO
WholeBrain,entropy__sample_entropy,amp__rms,0_to_2,-0.007494,5.414071e-01,0.016477,-0.028759,2.3977,2.463527e-02,0.7444,YES
WholeBrain,entropy__sample_entropy,amp__rms,0_to_3,0.002273,8.512234e-01,0.018320,-0.026753,2.6074,1.544214e-02,0.7011,YES
WholeBrain,entropy__sample_entropy,amp__rms,2_to_3,0.009767,5.676400e-03,0.005061,-0.020139,1.8323,7.935187e-02,0.4164,NO
WholeBrain,entropy__sample_entropy,amp__broadband_power_1_45,0_to_2,-0.007494,5.414071e-01,0.016263,-0.000328,1.5967,1.234170e-01,0.4842,NO
WholeBrain,entropy__sample_entropy,amp__broadband_power_1_45,0_to_3,0.002273,8.512234e-01,0.021785,-0.000265,2.0498,5.145820e-02,0.4031,NO
WholeBrain,entropy__sample_entropy,amp__broadband_power_1_45,2_to_3,0.009767,5.676400e-03,0.009928,-0.000135,3.3109,2.932567e-03,0.1722,YES
WholeBrain,entropy__sample_entropy,amp__theta_relative_4_8,0_to_2,-0.007494,5.414071e-01,-0.032366,2.054834,-1.8529,7.623979e-02,0.1301,NO
WholeBrain,entropy__sample_entropy,amp__theta_relative_4_8,0_to_3,0.002273,8.512234e-01,-0.012234,1.439096,-0.7782,4.440358e-01,0.0748,NO
WholeBrain,entropy__sample_entropy,amp__theta_relative_4_8,2_to_3,0.009767,5.676400e-03,0.009788,0.010411,2.8563,8.707880e-03,0.0000,YES
WholeBrain,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_2,-0.007494,5.414071e-01,-0.020271,-0.280536,-1.3228,1.983566e-01,0.0684,NO
WholeBrain,entropy__sample_entropy,amp__alpha_relative_8_13,0_to_3,0.002273,8.512234e-01,-0.009248,-0.264137,-0.6175,5.427196e-01,0.0620,NO
WholeBrain,entropy__sample_entropy,amp__alpha_relative_8_13,2_to_3,0.009767,5.676400e-03,0.008191,0.817831,2.5817,1.636691e-02,0.1342,YES
WholeBrain,entropy__sample_entropy,amp__beta_relative_13_30,0_to_2,-0.007494,5.414071e-01,0.001877,2.036173,0.3037,7.639456e-01,0.7573,NO
WholeBrain,entropy__sample_entropy,amp__beta_relative_13_30,0_to_3,0.002273,8.512234e-01,0.004165,2.175751,0.6783,5.040865e-01,0.7488,NO
WholeBrain,entropy__sample_entropy,amp__beta_relative_13_30,2_to_3,0.009767,5.676400e-03,0.004745,1.345162,2.0408,5.241570e-02,0.5738,NO
WholeBrain,entropy__mse,amp__rms,0_to_2,-0.007494,5.414071e-01,-0.011429,-0.029568,-1.4560,1.583489e-01,0.7023,NO
WholeBrain,entropy__mse,amp__rms,0_to_3,0.002273,8.512234e-01,-0.010585,-0.027356,-1.4054,1.727044e-01,0.6810,NO
WholeBrain,entropy__mse,amp__rms,2_to_3,0.009767,5.676400e-03,0.003121,-0.025503,1.1198,2.738992e-01,0.5290,NO
WholeBrain,entropy__mse,amp__broadband_power_1_45,0_to_2,-0.007494,5.414071e-01,-0.011120,-0.000345,-1.0241,3.159894e-01,0.4769,NO
WholeBrain,entropy__mse,amp__broadband_power_1_45,0_to_3,0.002273,8.512234e-01,-0.006884,-0.000273,-0.6215,5.401128e-01,0.3977,NO
WholeBrain,entropy__mse,amp__broadband_power_1_45,2_to_3,0.009767,5.676400e-03,0.009287,-0.000174,2.8472,8.894644e-03,0.2238,YES
WholeBrain,entropy__mse,amp__theta_relative_4_8,0_to_2,-0.007494,5.414071e-01,-0.053733,1.458825,-2.7934,1.008165e-02,0.0585,YES
WholeBrain,entropy__mse,amp__theta_relative_4_8,0_to_3,0.002273,8.512234e-01,-0.036639,0.956810,-2.1946,3.810756e-02,0.0307,YES
