branch,region,entropy_measure,amplitude_measure,contrast,n,beta0_adjusted_entropy,beta1_amplitude,beta0_se,beta0_t,beta0_p,r2,beta0_q_global,beta0_q_within_entropy_region
event,Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,3T_minus_3NT,26,0.010112044181521111,-0.10259222922762394,0.00383625861315255,2.6359130604105085,0.014476799559427789,0.011815485869918319,0.3757807545213171,0.03619199889856947
event,Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,Target_main,26,0.007210836530632736,-0.18324103249567272,0.0025826497086215826,2.79203041223942,0.01011459376435073,0.10141862002006474,0.31640524083353566,0.02889883932671637
event,Occipital,entropy__sample_entropy,amp__alpha_relative_8_13,Load_x_Target_interaction,26,0.004225286901498129,-0.19352706256828162,0.005135997114827485,0.8226809336204336,0.41878877884190024,0.05207875446464094,0.8194721960678669,0.5583850384558671
event,Occipital,entropy__sample_entropy,amp__beta_relative_13_30,2T_minus_2NT,26,0.011248994501634685,0.434604153011228,0.0030582467457654075,3.678249479774833,0.0011828693954707638,0.34149192907194925,0.1443100662474332,0.011828693954707637
event,Occipital,entropy__sample_entropy,amp__beta_relative_13_30,3T_minus_3NT,26,0.010436462049209585,0.21665072193750892,0.0032315074805055006,3.2295955098878566,0.0035748190712862125,0.08111419522962493,0.21806396334845896,0.014299276285144848
event,Occipital,entropy__sample_entropy,amp__beta_relative_13_30,Target_main,26,0.010171422831401697,0.2920088230095676,0.0021044160422319072,4.833370696325837,6.344318068608085e-05,0.16684133643796928,0.03870034021850932,0.001268863613721617
event,Occipital,entropy__sample_entropy,amp__beta_relative_13_30,Load_x_Target_interaction,26,-0.0008945301013930447,0.37674874035611333,0.004812850013047221,-0.1858628669017424,0.8541142676445816,0.23104903303611335,0.9639402465554019,0.8541142676445815
event,Occipital,entropy__mse,amp__rms,2T_minus_2NT,26,-0.002349658486151574,-0.04783920065074719,0.006579917121500218,-0.35709545314392244,0.7241411717587366,0.18369905299798006,0.934625614765018,0.9744843250204902
event,Occipital,entropy__mse,amp__rms,3T_minus_3NT,26,0.0013083479367255982,-0.0259111218931586,0.005042809147211623,0.2594482358010788,0.7975019942204662,0.1109184228362442,0.9572619691981449,0.9744843250204902
event,Occipital,entropy__mse,amp__rms,Target_main,26,0.001321714066016932,-0.025025323113792408,0.004185524914539492,0.3157821522996124,0.7548976304432432,0.12047592668259244,0.9388125475440945,0.9744843250204902
event,Occipital,entropy__mse,amp__rms,Load_x_Target_interaction,26,-0.0006368717310347624,-0.08394452733801581,0.006973924551984879,-0.09132185561908603,0.9279948058380353,0.27655049956268696,0.9852224228564818,0.9744843250204902
event,Occipital,entropy__mse,amp__broadband_power_1_45,2T_minus_2NT,26,0.0010954586168587135,-0.001628787354057467,0.006693993314261178,0.16364799984560788,0.8713785579587064,0.08042587273615043,0.9695347559260705,0.9744843250204902
event,Occipital,entropy__mse,amp__broadband_power_1_45,3T_minus_3NT,26,0.003933493430537263,-0.0004933607747511946,0.005144365953969646,0.7646216201827526,0.4519500753476795,0.022982553215080803,0.8330251740289092,0.9053648417149123
event,Occipital,entropy__mse,amp__broadband_power_1_45,Target_main,26,0.002490470095660981,-0.0009572805741139179,0.004092492663637575,0.6085460134820008,0.5485423177562782,0.08516117677308621,0.8849172823882728,0.9744843250204902
event,Occipital,entropy__mse,amp__broadband_power_1_45,Load_x_Target_interaction,26,-0.00026943184858679484,-0.0007812749418667837,0.008336439147662085,-0.032319776323486475,0.9744843250204902,0.010981981733685364,0.9946831492985304,0.9744843250204902
event,Occipital,entropy__mse,amp__theta_relative_4_8,2T_minus_2NT,26,0.005382387459294583,-0.056412988777307264,0.007050831211205978,0.7633692110995771,0.4526824208574562,0.0004715208025038997,0.8330251740289092,0.9053648417149123
event,Occipital,entropy__mse,amp__theta_relative_4_8,3T_minus_3NT,26,0.005681600931842034,0.011440948762436946,0.0048069718048747625,1.1819501262895507,0.24880444322478495,3.9074398377469954e-05,0.7513401503322714,0.8293481440826165
